Loading net-file from 'C:\Users\P14s\OneDrive\Desktop\bk\vn.net.xml' ... done (30ms).
Loading additional-files from 'C:\Users\P14s\OneDrive\Desktop\bk\vtype.xml' ... done (2ms).
Loading route-files incrementally from 'C:\Users\P14s\OneDrive\Desktop\bk\full_routes.xml'
Loading done.
Simulation started with time: 0.00.
Warning: Vehicle 'base_ew_top_moto.10' performs emergency braking on lane 'J2_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=81.00.
Warning: Vehicle 'base_sn_left_moto.8' performs emergency braking on lane 'J4_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=81.50.
Warning: Vehicle 'peak_morning_we_top_moto.24' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=82.10.
Warning: Vehicle 'base_ns_right_moto.23' performs emergency braking on lane 'N_out_3_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=82.30.
Warning: Vehicle 'base_sn_left_car.6' performs emergency braking on lane 'N_out_7s_to_J7_1' with decel=9.00, wished=4.50, severity=1.00, time=82.60.
Warning: Vehicle 'base_ew_top_moto.3' performs emergency braking on lane 'J2_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=83.20.
Warning: Vehicle 'base_ew_top_moto.16' performs emergency braking on lane 'J2_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=83.70.
Warning: Vehicle 'base_ns_right_moto.24' performs emergency braking on lane 'N_out_3_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=83.80.
Warning: Vehicle 'base_sn_left_moto.19' performs emergency braking on lane 'N_out_7s_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=83.90.
Warning: Vehicle 'base_ew_top_moto.2' performs emergency braking on lane 'J2_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=85.20.
Warning: Vehicle 'base_sn_left_moto.19' performs emergency braking on lane 'N_out_7s_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=85.20.
Warning: Vehicle 'base_ns_right_moto.26' performs emergency braking on lane 'N_out_3_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=85.90.
Warning: Vehicle 'base_ew_bot_moto.13' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=86.20.
Warning: Vehicle 'base_ns_right_moto.25' performs emergency braking on lane 'N_out_3_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=86.60.
Warning: Vehicle 'base_sn_left_moto.28' performs emergency braking on lane 'N_out_7s_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=87.50.
Warning: Vehicle 'base_ns_right_moto.24' performs emergency braking on lane 'N_out_3_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=87.70.
Warning: Vehicle 'base_ns_right_moto.24' performs emergency braking on lane 'N_out_3_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=87.90.
Warning: Vehicle 'base_sn_left_moto.25' performs emergency braking on lane 'N_out_7s_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=88.40.
Warning: Vehicle 'base_sn_left_moto.25' performs emergency braking on lane 'N_out_7s_to_J7_1' with decel=10.00, wished=4.50, severity=1.00, time=90.00.
Warning: Vehicle 'base_sn_left_moto.25' performs emergency braking on lane 'N_out_7s_to_J7_1' with decel=10.00, wished=4.50, severity=1.00, time=90.60.
Warning: Vehicle 'peak_morning_we_top_moto.35' performs emergency braking on lane 'N_out_1w_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=90.60.
Warning: Vehicle 'base_sn_left_moto.19' performs emergency braking on lane 'N_out_7s_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=90.70.
Warning: Vehicle 'base_sn_left_moto.19' performs emergency braking on lane 'N_out_7s_to_J7_1' with decel=10.00, wished=4.50, severity=1.00, time=90.90.
Warning: Vehicle 'peak_morning_we_bot_moto.28' performs emergency braking on lane 'J7_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=91.10.
Warning: Vehicle 'base_we_bot_moto.7' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=91.30.
Warning: Vehicle 'peak_morning_we_bot_moto.28' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=91.90.
Warning: Vehicle 'peak_morning_we_top_moto.30' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=92.10.
Warning: Vehicle 'base_ns_right_moto.27' performs emergency braking on lane 'N_out_3_to_J3_0' with decel=10.00, wished=4.50, severity=1.00, time=92.40.
Warning: Vehicle 'base_ns_left_moto.27' performs emergency braking on lane 'N_out_1_to_J1_0' with decel=10.00, wished=4.50, severity=1.00, time=92.80.
Warning: Vehicle 'base_sn_right_moto.27' performs emergency braking on lane 'N_out_9s_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=93.00.
Warning: Vehicle 'base_ew_top_moto.19' performs emergency braking on lane 'J3_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=94.00.
Warning: Vehicle 'base_we_top_moto.0' performs emergency braking on lane 'J2_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=94.40.
Warning: Vehicle 'base_ew_bot_moto.13' performs emergency braking on lane 'J8_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=94.60.
Warning: Vehicle 'peak_morning_we_top_moto.25' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=94.90.
Warning: Vehicle 'peak_morning_we_bot_moto.9' performs emergency braking on lane 'J8_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=95.40.
Warning: Vehicle 'base_ew_bot_moto.30' performs emergency braking on lane 'N_out_9_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=97.20.
Warning: Vehicle 'base_ew_bot_moto.29'; collision with vehicle 'base_ew_bot_car.7', lane='N_out_9_to_J9_1', gap=-0.02, latGap=-0.09, time=97.30, stage=move.
Warning: Vehicle 'base_ns_left_moto.15' performs emergency braking on lane 'J1_to_J4_1' with decel=10.00, wished=4.50, severity=1.00, time=97.40.
Warning: Vehicle 'peak_morning_we_bot_moto.15' performs emergency braking on lane 'J8_to_J9_0' with decel=10.00, wished=4.50, severity=1.00, time=97.70.
